,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2000,Midwest Division
1,55,27,.671,—,96.5,92.0,4.52,2000,Utah Jazz*
2,53,29,.646,2.0,96.2,90.2,5.92,2000,San Antonio Spurs*
3,50,32,.610,5.0,98.5,96.0,2.67,2000,Minnesota Timberwolves*
4,40,42,.488,15.0,101.4,102.0,-0.29,2000,Dallas Mavericks
5,35,47,.427,20.0,99.0,101.1,-1.76,2000,Denver Nuggets
6,34,48,.415,21.0,99.5,100.3,-0.57,2000,Houston Rockets
7,22,60,.268,33.0,93.9,99.5,-5.10,2000,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2000,Pacific Division
9,67,15,.817,—,100.8,92.3,8.41,2000,Los Angeles Lakers*
10,59,23,.720,8.0,97.5,91.0,6.36,2000,Portland Trail Blazers*
11,53,29,.646,14.0,98.9,93.7,5.24,2000,Phoenix Suns*
12,45,37,.549,22.0,99.1,98.1,1.17,2000,Seattle SuperSonics*
13,44,38,.537,23.0,105.0,102.0,3.04,2000,Sacramento Kings*
14,19,63,.232,48.0,95.5,103.8,-7.63,2000,Golden State Warriors
15,15,67,.183,52.0,92.0,103.5,-10.73,2000,Los Angeles Clippers
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2001,Midwest Division
1,58,24,.707,—,96.2,88.4,7.92,2001,San Antonio Spurs*
2,53,29,.646,5.0,97.1,92.4,5.00,2001,Utah Jazz*
3,53,29,.646,5.0,100.5,96.2,4.61,2001,Dallas Mavericks*
4,47,35,.573,11.0,97.3,96.0,1.81,2001,Minnesota Timberwolves*
5,45,37,.549,13.0,97.2,94.9,2.71,2001,Houston Rockets
6,40,42,.488,18.0,96.6,99.0,-1.83,2001,Denver Nuggets
7,23,59,.280,35.0,91.7,97.5,-4.94,2001,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2001,Pacific Division
9,56,26,.683,—,100.6,97.2,3.74,2001,Los Angeles Lakers*
10,55,27,.671,1.0,101.7,95.9,6.07,2001,Sacramento Kings*
11,51,31,.622,5.0,94.0,91.8,2.63,2001,Phoenix Suns*
12,50,32,.610,6.0,95.4,91.2,4.52,2001,Portland Trail Blazers*
13,44,38,.537,12.0,97.3,97.3,0.55,2001,Seattle SuperSonics
14,31,51,.378,25.0,92.5,95.3,-2.23,2001,Los Angeles Clippers
15,17,65,.207,39.0,92.5,101.5,-8.11,2001,Golden State Warriors
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2002,Midwest Division
1,58,24,.707,—,96.7,90.5,6.28,2002,San Antonio Spurs*
2,57,25,.695,1.0,105.2,101.0,4.41,2002,Dallas Mavericks*
3,50,32,.610,8.0,99.3,96.0,3.58,2002,Minnesota Timberwolves*
4,44,38,.537,14.0,96.0,95.1,1.21,2002,Utah Jazz*
5,28,54,.341,30.0,92.3,97.2,-4.31,2002,Houston Rockets
6,27,55,.329,31.0,92.2,98.0,-5.19,2002,Denver Nuggets
7,23,59,.280,35.0,89.9,97.3,-6.74,2002,Memphis Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2002,Pacific Division
9,61,21,.744,—,104.6,97.0,7.61,2002,Sacramento Kings*
10,58,24,.707,3.0,101.3,94.1,7.15,2002,Los Angeles Lakers*
11,49,33,.598,12.0,96.6,93.7,3.21,2002,Portland Trail Blazers*
12,45,37,.549,16.0,97.7,94.7,3.24,2002,Seattle SuperSonics*
13,39,43,.476,22.0,95.7,96.1,-0.09,2002,Los Angeles Clippers
14,36,46,.439,25.0,95.1,95.8,-0.30,2002,Phoenix Suns
15,21,61,.256,40.0,97.7,103.1,-4.80,2002,Golden State Warriors
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2003,Midwest Division
1,60,22,.732,—,95.8,90.4,5.65,2003,San Antonio Spurs*
2,60,22,.732,—,103.0,95.2,7.90,2003,Dallas Mavericks*
3,51,31,.622,9.0,98.1,96.0,2.46,2003,Minnesota Timberwolves*
4,47,35,.573,13.0,94.7,92.3,2.76,2003,Utah Jazz*
5,43,39,.524,17.0,93.8,92.3,1.89,2003,Houston Rockets
6,28,54,.341,32.0,97.5,100.7,-2.60,2003,Memphis Grizzlies
7,17,65,.207,43.0,84.2,92.4,-7.41,2003,Denver Nuggets
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2003,Pacific Division
9,59,23,.720,—,101.7,95.2,6.68,2003,Sacramento Kings*
10,50,32,.610,9.0,100.4,98.0,2.71,2003,Los Angeles Lakers*
11,50,32,.610,9.0,95.2,92.5,2.97,2003,Portland Trail Blazers*
12,44,38,.537,15.0,95.5,94.4,1.57,2003,Phoenix Suns*
13,40,42,.488,19.0,92.1,92.3,0.37,2003,Seattle SuperSonics
14,38,44,.463,21.0,102.4,103.6,-0.60,2003,Golden State Warriors
15,27,55,.329,32.0,93.8,97.9,-3.45,2003,Los Angeles Clippers
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2004,Midwest Division
1,58,24,.707,—,94.5,89.1,5.86,2004,Minnesota Timberwolves*
2,57,25,.695,1.0,91.5,84.3,7.51,2004,San Antonio Spurs*
3,52,30,.634,6.0,105.2,100.8,4.86,2004,Dallas Mavericks*
4,50,32,.610,8.0,96.7,94.3,2.95,2004,Memphis Grizzlies*
5,45,37,.549,13.0,89.8,88.0,2.28,2004,Houston Rockets*
6,43,39,.524,15.0,97.2,96.1,1.65,2004,Denver Nuggets*
7,42,40,.512,16.0,88.7,89.9,-0.53,2004,Utah Jazz
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2004,Pacific Division
9,56,26,.683,—,98.2,94.3,4.35,2004,Los Angeles Lakers*
10,55,27,.671,1.0,102.8,97.8,5.41,2004,Sacramento Kings*
11,41,41,.500,15.0,90.7,92.0,-0.58,2004,Portland Trail Blazers
12,37,45,.451,19.0,93.3,94.0,-0.07,2004,Golden State Warriors
13,37,45,.451,19.0,97.1,97.8,0.02,2004,Seattle SuperSonics
14,29,53,.354,27.0,94.2,97.9,-2.94,2004,Phoenix Suns
15,28,54,.341,28.0,94.8,99.4,-3.74,2004,Los Angeles Clippers
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2005,Northwest Division
1,52,30,.634,—,98.9,96.6,2.59,2005,Seattle SuperSonics*
2,49,33,.598,3.0,99.5,97.5,2.23,2005,Denver Nuggets*
3,44,38,.537,8.0,96.8,95.3,1.73,2005,Minnesota Timberwolves
4,27,55,.329,25.0,92.9,96.9,-3.45,2005,Portland Trail Blazers
